Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
The Noose,A Perfect Circle,Three Sixty (Deluxe Edition),Rhythmic Journey,Playlist,USVI20301028,59JflFQe1alcNj7JS5kvHy
Talk To Me (feat. Lzzy Hale),Apocalyptica,Talk To Me (feat. Lzzy Hale),Rhythmic Journey,Playlist,UKKY82000127,00i9VF7sjSaTqblAuKFBDO
You,Breaking Benjamin,Breaking Benjamin: Digital Box Set,Rhythmic Journey,Playlist,USHR10622224,59AXfSFmdGJWwsnmgWSjFH
Stairway to Heaven - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),Rhythmic Journey,Playlist,USAT21300959,5CQ30WqJwcep0pYcV4AMNc
Gone Forever,Three Days Grace,One-X,Rhythmic Journey,Playlist,USJI10600158,2Xe2YAxNPqWCNpZ8RagBdO
Six Feet Under,Smash Into Pieces,Six Feet Under,Rhythmic Journey,Playlist,QMFME2298548,5DYCuzBPf13q0QZwQvjYzi
The Man Who Sold The World - Live,Nirvana,Nirvana,Rhythmic Journey,Playlist,USGF19972704,1XnPVbzLhuBv0sHaCTgyoi
Every Breath You Take,The Police,Synchronicity (Remastered 2003),Rhythmic Journey,Playlist,GBAAM0201110,1JSTJqkT5qHq8MDJnJbRE1
November Rain,Guns N' Roses,Use Your Illusion I,Rhythmic Journey,Playlist,USGF19141510,3YRCqOhFifThpSRFJ1VWFM
Don't Stop Me Now - Remastered 2011,Queen,Jazz (2011 Remaster),Rhythmic Journey,Playlist,GBUM71029610,5T8EDUDqKcs6OSOwEsfqG7
What a Shame,Shinedown,The Sound of Madness (Deluxe Edition),Rhythmic Journey,Playlist,USAT20802286,7Imt4Hrwtgp5A77YCBjQhF
Better Days - Previously Unreleased,Breaking Benjamin,Shallow Bay: The Best Of Breaking Benjamin Deluxe Edition (Explicit),Rhythmic Journey,Playlist,USHR11132851,2bzvFmc451obH1ldetQrgT
Angels Fall,Breaking Benjamin,Dark Before Dawn,Rhythmic Journey,Playlist,USHR11536293,2D9BrlpeyjXF0vli2dYQ5V
The Sound of Silence - Electric Version,Simon & Garfunkel,Sounds Of Silence,Rhythmic Journey,Playlist,USSM16401131,2YplrdHMBoRdnHgMeHEwHm
I'd Come for You,Nickelback,Dark Horse,Rhythmic Journey,Playlist,NLA320888016,1xQZtbipNLyP0e0hihE5F5
Hold Me Now,Red,Release The Panic,Rhythmic Journey,Playlist,USA5W1200396,1TzzdJ7pQ0ZcnecKWwSLM2
Checkmate,Smash Into Pieces,The Apocalypse DJ,Rhythmic Journey,Playlist,SEVWR1401304,0bljmxWf1P3agiPNtuHAnn
Gotta Be Somebody,Nickelback,The New Sound of Rock,Rhythmic Journey,Playlist,NLA321393047,5xiYWerRJXIL7BmBm4hOz5
Home,Nickelback,Feed the Machine,Rhythmic Journey,Playlist,QMRSZ1700239,6vDQ6H2mibcrOqGGyuWiUO
All Quiet on the Mersey Front (feat. The George Martin Orchestra) - Stereo Version; 1997 Remaster,Gerry & The Pacemakers,Ferry Cross The Mersey [Mono And Stereo Version],Rhythmic Journey,Playlist,GBAYE9702811,5L5VwGsaaRBpZiXUw6ZMJj
Pensamientos,Airbag,Al Parecer Todo Ha Sido una Trampa,Rhythmic Journey,Playlist,ARF472100135,1H7ktqkQx1PIuPfNtqvaBs
Lose My Life,Papercut Massacre,If These Scars Could Talk,Rhythmic Journey,Playlist,USWU30900061,2J6qr3pC10jeEg7dSN9YHG
