Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Stressed Out,Twenty One Pilots,Blurryface,Full Volume,Playlist,USAT21500597,3CRDbSIZ4r5MsZ0YwxuEkn
Hell and Back,Self Deception,Shapes,Full Volume,Playlist,SE6DB1900106,2ZKYwK2Icv50QU156JORyQ
A Friend Like You,Smash Into Pieces,Unbreakable,Full Volume,Playlist,SEVWR1300103,23Jgk4pssWwLgwTqyK7Sr4
Breaking Out,Smash Into Pieces,Evolver,Full Volume,Playlist,SEVWR1803804,51RRYH1FqnGBXNcUrTfYbs
Anthem Of The Lonely,Nine Lashes,World We View,Full Volume,Playlist,USTN11100068,1bKRtH1leT7y003VikaXUc
Let It Die,STARSET,Transmissions (Deluxe Version),Full Volume,Playlist,USRZR1460010,0AymccBBOrW0qTr7bSJn3u
exploding,mehro,Dark Corners and Alchemy,Full Volume,Playlist,USANG2226136,4JT7UymD7YCLdRPx5KYtkO
Black Mirror,Marrok,Me vs. Me,Full Volume,Playlist,TCADZ1896508,2w7UHjGgbTmVvUZc0qrvF9
Heroes Are Calling,Smash Into Pieces,Ghost Code,Full Volume,Playlist,QMFMG2368110,4P95NVkHsLm95s8Pb9buPs
Afterglow,Smash Into Pieces,Ghost Code,Full Volume,Playlist,QM4TW2475994,0WDlEgbYPtcxUn4CKoI0uU
In The Dark,9 Billion,Alive,Full Volume,Playlist,QZES52284522,2j8hfjRZIHvGrkwJWboUFM
Don't Tell Me (feat. Ann Wilson),Disturbed,Divisive,Full Volume,Playlist,USRE12200452,54gHtLZx6LzToQBuHmIQHc
Inside Our Scars,The Veer Union,Divide the Blackened Sky,Full Volume,Playlist,CA5IL1100008,0jkVBuBrLrSk8PSus3N7hs
They Don't Care About Us,Saliva,"Love, Lies & Therapy",Full Volume,Playlist,USUM71601441,2yhpa4tgc5SeM6ErBm26fK
Darkness Before The Dawn,Caleb Hyles,Darkness Before The Dawn,Full Volume,Playlist,QM4TX2375549,2BbMEzY7aVDsks9rNBLE7n
Next Semester,Twenty One Pilots,Next Semester,Full Volume,Playlist,USAT22401697,4PCD9jZRM2VswisaTBhc25
Bleeders,Black Veil Brides,Bleeders,Full Volume,Playlist,GBPVV2404058,3KprCokhFBVLLGyQVu5XaN
Dilemma,Green Day,Saviors,Full Volume,Playlist,USRE12201093,4NrGMEm5SvvpJ9Tk1Rq3cP
Abyss - from Kaiju No. 8,YUNGBLUD,Abyss (from Kaiju No. 8),Full Volume,Playlist,USUG12400478,2kLWSmKHhfUBepkIA9oNe5
Had Enough,The Enemy,We'll Live and Die In These Towns,Full Volume,Playlist,GBAHT0700275,4uZyKKzj7zMC8Xkw2FPbv1
Teenager,MONA,Mona,Full Volume,Playlist,GBUM71100726,19glPKOi1IAa3mtdD2CC0a
Alive,Late Night Savior,Into the Aftermath,Full Volume,Playlist,QZAPG1782046,1kkM2kJVrhixB11RJK6qH9
One For The Road,Arctic Monkeys,AM,Full Volume,Playlist,GBCEL1300364,0OTvJXmQPv7SKavoV6td75
Farewell To The Fairground,White Lies,To Lose My Life... (Bonus remix version),Full Volume,Playlist,GBUM70812613,4wCsnvMyDboBxSDgipm2z0
Show Me A Sign,Modestep,Evolution Theory,Full Volume,Playlist,GBUM71110377,0B7nhgGrZSet0KDOP3H1zg
Schism,TOOL,Lateralus,Full Volume,Playlist,USVR10100013,55mJleti2WfWEFNFcBduhc
Silicone Lube,Feed Me,Feed Me's Big Adventure,Full Volume,Playlist,GBTDG1000244,0tvsUR0T0EteQXabotDRJo
Bleed,Smash Into Pieces,Ghost Code,Full Volume,Playlist,QM4TW2476061,64kKpAiWj68U3IkBxDAKY8
Hypnotize,System Of A Down,Hypnotize,Full Volume,Playlist,USSM10505330,6oO7WMjD6kEvCITLbVj0mu
Invaders Must Die,The Prodigy,Invaders Must Die,Full Volume,Playlist,GBCEJ0800386,1j6lrR4BzRGKwvAPfrIcbf
The Rush,Shuichi Kobori,Hi-Fi Rush: Original Game Soundtrack,Full Volume,Playlist,QMTH32300003,6bJdrc2kj57R5K4WBJZWXy
Heaven and Hell,Jeremy Blake,Music for Algorithm: Volume 01,Full Volume,Playlist,QZTB62375916,6vO1kDFnryQjKGKcSZJ1SN
Never Let Me Down Again,Depeche Mode,The Singles 86-98,Full Volume,Playlist,GBAJH9800141,3QqONU0GW4byIClquChyf0
Always,Killswitch Engage,Disarm the Descent (Special Edition),Full Volume,Playlist,NLA321392567,0fE5kL2rRlaSQ86OvZG1NX
Already Gone,Crossfade,Falling Away,Full Volume,Playlist,USSM10603446,7uiLbz4HbJBnY3KbswCMPE
Tell Me Why,Three Days Grace,Human,Full Volume,Playlist,USRC11500213,0YFA0boMX3HBAZS1QfHKRR
A View from the Top of the World,Dream Theater,A View From The Top Of The World,Full Volume,Playlist,GBDHC2124907,29C7AhtLFeQY7RjJmyyW0v
